,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
123,dhmix_112729391186229967,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.509,,CNc1ccccc1,Solvent,0.491,,-0.816,0.009,10.1021/je200333p
124,dhmix_1637459312398636454,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.2283,,CNc1ccccc1,Solvent,0.7717,,-0.54,0.006,10.1021/je200333p
125,dhmix_1933605864237207151,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7055,,CNc1ccccc1,Solvent,0.2945,,-0.672,0.0075,10.1021/je200333p
126,dhmix_112832411362526364,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.25,,CCCCO,Solvent,0.75,,0.2829,0.00333,10.1016/j.fluid.2011.11.005
127,dhmix_385937725855980509,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.7499,,CCCCO,Solvent,0.2501,,0.63978,0.00696,10.1016/j.fluid.2011.11.005
128,dhmix_1436053809694490847,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.5003,,CCCCO,Solvent,0.4997,,0.56098,0.00616,10.1016/j.fluid.2011.11.005
129,dhmix_113202719214912577,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.7003,,O,Solvent,0.2996999999999999,,-1.75,0.019,10.1016/j.jct.2015.04.030
130,dhmix_450200897960931857,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.5002,,O,Solvent,0.4998,,-2.504,0.027,10.1016/j.jct.2015.04.030
131,dhmix_1628408668678458098,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.2008,,O,Solvent,0.7992,,-2.185,0.0235,10.1016/j.jct.2015.04.030
132,dhmix_728030976573858762,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4832,,CCCCCC,Solvent,0.5167999999999999,,0.2144,0.00155,10.1016/j.jct.2008.12.004
133,dhmix_1406519609852245638,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.219,,CCCCCC,Solvent,0.781,,0.1264,0.00105,10.1016/j.jct.2008.12.004
134,dhmix_1819992223413741006,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7255,,CCCCCC,Solvent,0.2744999999999999,,0.199,0.00145,10.1016/j.jct.2008.12.004
